split,class,column,share_eq_350,share_eq_0,median,nunique
train,Recon,Rolling_vulnerable_port,0.154,0.513,0.0,188
train,Recon,Rolling_packets_destination,0.472,0.0,350.0,1221
train,Recon,Rolling_bipackets_destination,0.05,0.0,701.0,1696
train,Mirai,Rolling_UDP_Requests_SourceDestination,0.949,0.003,350.0,325
train,Mirai,Rolling_UDP_Requests_Destination,0.883,0.003,350.0,119
train,Mirai,Rolling_TCP_Requests_SourceDestination,0.0,0.994,0.0,10
train,Mirai,Rolling_TCP_Requests_Destination,0.0,0.9,0.0,21
train,Mirai,Rolling_ACK_Packets_SourceDestination,0.0,0.994,0.0,13
train,Mirai,Rolling_ACK_Packets_Destination,0.0,0.909,0.0,35
train,Mirai,Rolling_FIN_Packets_SourceDestination,0.0,0.995,0.0,6
train,Mirai,Rolling_FIN_Packets_Destination,0.0,0.98,0.0,16
train,Mirai,Rolling_rst_Packets_SourceDestination,0.0,0.999,0.0,3
train,Mirai,Rolling_rst_Packets_Destination,0.0,0.992,0.0,10
train,Mirai,Rolling_psh_Packets_SourceDestination,0.0,0.996,0.0,8
train,Mirai,Rolling_psh_Packets_Destination,0.0,0.94,0.0,27
train,Mirai,Rolling_SYN_Packets_SourceDestination,0.0,0.996,0.0,9
train,Mirai,Rolling_SYN_Packets_Destination,0.0,0.971,0.0,17
train,Mirai,Unique_Ports_In_SourceDestinationIP,0.0,0.0,1.0,3
train,Mirai,Rolling_ICMP_Requests_SourceDestination,0.0,0.997,0.0,48
train,Mirai,Rolling_ICMP_Requests_Destination,0.0,0.981,0.0,53
train,Mirai,Rolling_http_port_SourceDestination,0.0,1.0,0.0,1
train,Mirai,Rolling_http_port_Destination,0.0,0.996,0.0,3
train,Mirai,Rolling_Duration_Destination,0.0,0.0,24.009999999999998,10657
train,Mirai,Rolling_Duration_SourceDestination,0.0,0.0,21.572857142857146,12364
train,Mirai,Rolling_DNS_request_SourceDestination,0.0,1.0,0.0,1
train,Mirai,Rolling_DNS_request_Destination,0.0,1.0,0.0,1
train,Mirai,Rolling_DNS_request_SourceDestination2,0.0,1.0,0.0,1
train,Mirai,Rolling_DNS_request_Destination2,0.0,1.0,0.0,2
train,Mirai,Rolling_vulnerable_port,0.0,1.0,0.0,1
train,Mirai,Rolling_packets_destination,0.0,0.0,7000.0,243
train,Mirai,Rolling_bipackets_destination,0.0,0.0,7000.0,242
train,Dos,Rolling_UDP_Requests_SourceDestination,0.0,1.0,0.0,5
train,Dos,Rolling_UDP_Requests_Destination,0.0,1.0,0.0,5
train,Dos,Rolling_TCP_Requests_SourceDestination,0.996,0.0,350.0,68
train,Dos,Rolling_TCP_Requests_Destination,0.996,0.0,350.0,68
train,Dos,Rolling_ACK_Packets_SourceDestination,0.006,0.084,54.0,440
train,Dos,Rolling_ACK_Packets_Destination,0.006,0.084,54.0,440
train,Dos,Rolling_FIN_Packets_SourceDestination,0.0,1.0,0.0,3
train,Dos,Rolling_FIN_Packets_Destination,0.0,1.0,0.0,3
train,Dos,Rolling_rst_Packets_SourceDestination,0.002,0.093,52.0,418
train,Dos,Rolling_rst_Packets_Destination,0.002,0.093,52.0,418
train,Dos,Rolling_psh_Packets_SourceDestination,0.0,1.0,0.0,5
train,Dos,Rolling_psh_Packets_Destination,0.0,0.999,0.0,5
train,Dos,Rolling_SYN_Packets_SourceDestination,0.083,0.0,405.0,742
train,Dos,Rolling_SYN_Packets_Destination,0.083,0.0,405.0,742
train,Dos,Unique_Ports_In_SourceDestinationIP,0.004,0.0,1.0,33
train,Dos,Rolling_ICMP_Requests_SourceDestination,0.0,1.0,0.0,1
train,Dos,Rolling_ICMP_Requests_Destination,0.0,1.0,0.0,3
train,Dos,Rolling_http_port_SourceDestination,0.0,1.0,0.0,4
train,Dos,Rolling_http_port_Destination,0.0,1.0,0.0,4
train,Dos,Rolling_Duration_Destination,0.0,0.083,109.68571428571428,12080
train,Dos,Rolling_Duration_SourceDestination,0.0,0.083,109.66714285714286,12080
train,Dos,Rolling_DNS_request_SourceDestination,0.0,1.0,0.0,5
train,Dos,Rolling_DNS_request_Destination,0.0,1.0,0.0,5
train,Dos,Rolling_DNS_request_SourceDestination2,0.0,0.994,0.0,2
train,Dos,Rolling_DNS_request_Destination2,0.0,0.994,0.0,2
train,Dos,Rolling_vulnerable_port,0.0,1.0,0.0,6
train,Dos,Rolling_packets_destination,0.092,0.0,403.0,733
train,Dos,Rolling_bipackets_destination,0.083,0.0,460.0,938
train,DDos,Rolling_UDP_Requests_SourceDestination,0.001,0.999,0.0,9
train,DDos,Rolling_UDP_Requests_Destination,0.0,0.994,0.0,24
train,DDos,Rolling_TCP_Requests_SourceDestination,0.001,0.999,0.0,8
train,DDos,Rolling_TCP_Requests_Destination,0.001,0.986,0.0,21
train,DDos,Rolling_ACK_Packets_SourceDestination,0.0,0.999,0.0,10
train,DDos,Rolling_ACK_Packets_Destination,0.0,0.991,0.0,29
train,DDos,Rolling_FIN_Packets_SourceDestination,0.0,0.999,0.0,7
train,DDos,Rolling_FIN_Packets_Destination,0.0,0.996,0.0,15
train,DDos,Rolling_rst_Packets_SourceDestination,0.0,1.0,0.0,1
train,DDos,Rolling_rst_Packets_Destination,0.0,0.999,0.0,3
train,DDos,Rolling_psh_Packets_SourceDestination,0.0,0.999,0.0,9
train,DDos,Rolling_psh_Packets_Destination,0.0,0.994,0.0,26
train,DDos,Rolling_SYN_Packets_SourceDestination,0.0,0.999,0.0,7
train,DDos,Rolling_SYN_Packets_Destination,0.0,0.992,0.0,25
train,DDos,Unique_Ports_In_SourceDestinationIP,0.0,0.0,1.0,4
train,DDos,Rolling_ICMP_Requests_SourceDestination,0.993,0.002,350.0,93
train,DDos,Rolling_ICMP_Requests_Destination,0.981,0.001,350.0,35
train,DDos,Rolling_http_port_SourceDestination,0.001,0.999,0.0,6
train,DDos,Rolling_http_port_Destination,0.001,0.998,0.0,10
train,DDos,Rolling_Duration_Destination,0.0,0.0,3.46,2786
train,DDos,Rolling_Duration_SourceDestination,0.0,0.0,3.0742857142857143,3378
train,DDos,Rolling_DNS_request_SourceDestination,0.001,0.999,0.0,7
train,DDos,Rolling_DNS_request_Destination,0.0,0.999,0.0,16
train,DDos,Rolling_DNS_request_SourceDestination2,0.0,1.0,0.0,3
train,DDos,Rolling_DNS_request_Destination2,0.0,0.997,0.0,7
train,DDos,Rolling_vulnerable_port,0.001,0.998,0.0,13
train,DDos,Rolling_packets_destination,0.0,0.0,7000.0,106
train,DDos,Rolling_bipackets_destination,0.0,0.0,7000.0,87
train,BruteForce,Rolling_UDP_Requests_SourceDestination,0.0,0.967,0.0,28
train,BruteForce,Rolling_UDP_Requests_Destination,0.0,0.65,0.0,44
train,BruteForce,Rolling_TCP_Requests_SourceDestination,0.304,0.041,211.0,351
train,BruteForce,Rolling_TCP_Requests_Destination,0.237,0.018,226.0,350
train,BruteForce,Rolling_ACK_Packets_SourceDestination,0.001,0.041,2490.0,1391
train,BruteForce,Rolling_ACK_Packets_Destination,0.001,0.018,2753.0,1423
train,BruteForce,Rolling_FIN_Packets_SourceDestination,0.001,0.137,207.0,479
train,BruteForce,Rolling_FIN_Packets_Destination,0.001,0.104,198.0,478
train,BruteForce,Rolling_rst_Packets_SourceDestination,0.0,0.209,1.0,67
train,BruteForce,Rolling_rst_Packets_Destination,0.0,0.199,1.0,67
train,BruteForce,Rolling_psh_Packets_SourceDestination,0.001,0.043,883.0,1161
train,BruteForce,Rolling_psh_Packets_Destination,0.001,0.019,1118.0,1185
train,BruteForce,Rolling_SYN_Packets_SourceDestination,0.001,0.35,175.0,492
train,BruteForce,Rolling_SYN_Packets_Destination,0.001,0.35,175.0,492
train,BruteForce,Unique_Ports_In_SourceDestinationIP,0.0,0.0,1.0,242
train,BruteForce,Rolling_ICMP_Requests_SourceDestination,0.0,0.993,0.0,15
train,BruteForce,Rolling_ICMP_Requests_Destination,0.0,0.993,0.0,15
train,BruteForce,Rolling_http_port_SourceDestination,0.0,0.969,0.0,56
train,BruteForce,Rolling_http_port_Destination,0.0,0.969,0.0,56
train,BruteForce,Rolling_Duration_Destination,0.0,0.001,1792.0314285714285,1866
train,BruteForce,Rolling_Duration_SourceDestination,0.0,0.003,1792.0314285714285,1858
train,BruteForce,Rolling_DNS_request_SourceDestination,0.0,1.0,0.0,1
train,BruteForce,Rolling_DNS_request_Destination,0.0,1.0,0.0,1
train,BruteForce,Rolling_DNS_request_SourceDestination2,0.0,0.999,0.0,3
train,BruteForce,Rolling_DNS_request_Destination2,0.0,0.897,0.0,3
train,BruteForce,Rolling_vulnerable_port,0.233,0.576,0.0,286
train,BruteForce,Rolling_packets_destination,0.001,0.0,1736.0,1294
train,BruteForce,Rolling_bipackets_destination,0.001,0.0,2951.0,1422
